input_name,expected_name,expected_ticker
AlphaVest Acquisition,AlphaVest Acquisition Corp - Ordinary Shares,ATMV
AlphaVest Acquisition,AlphaVest Acquisition Corp - Right,ATMVR
AlphaVest Acquisition,AlphaVest Acquisition Corp - Unit,ATMVU
180 Life,180 Life Sciences Corp. - Common Stock,ATNF
180 Life,180 Life Sciences Corp. - Warrant,ATNFW
"ATN International,","ATN International, Inc. - Common Stock",ATNI
Atomera Incorporated,Atomera Incorporated - Common Stock,ATOM
"Atossa Therapeutics,","Atossa Therapeutics, Inc. - Common Stock",ATOS
Agape ATP,Agape ATP Corporation - Common Stock,ATPC
"Atara Biotherapeutics,","Atara Biotherapeutics, Inc. - Common Stock",ATRA
"AtriCure, Inc.","AtriCure, Inc. - Common Stock",ATRC
Astronics Corporation,Astronics Corporation - Common Stock,ATRO
Addentax Group,Addentax Group Corp. - Common Stock,ATXG
"Astria Therapeutics,","Astria Therapeutics, Inc. - Common Stock",ATXS
"aTyr Pharma,","aTyr Pharma, Inc. - Common Stock",ATYR
Auburn National,"Auburn National Bancorporation, Inc. - Common Stock",AUBN
AudioCodes Ltd.,AudioCodes Ltd. - Ordinary Shares,AUDC
authID Inc.,authID Inc. - Common Stock,AUID
Themes Gold,Themes Gold Miners ETF,AUMI
Aurinia Pharmaceuticals,Aurinia Pharmaceuticals Inc - Common Shares,AUPH
"Aurora Innovation,","Aurora Innovation, Inc.  - Class A Common Stock",AUR
"Aura Biosciences,","Aura Biosciences, Inc. - Common Stock",AURA
"Aurora Innovation,","Aurora Innovation, Inc.  - Warrant",AUROW
Autolus Therapeutics,Autolus Therapeutics plc - American Depositary Shares,AUTL
Auddia Inc.,Auddia Inc. - Common Stock,AUUD
Auddia Inc.,Auddia Inc. - Warrants,AUUDW
Aveanna Healthcare,Aveanna Healthcare Holdings Inc. - Common Stock,AVAH
"AeroVironment, Inc.","AeroVironment, Inc. - Common Stock",AVAV
"ArriVent BioPharma,","ArriVent BioPharma, Inc. - Common Stock",AVBP
Avadel Pharmaceuticals,Avadel Pharmaceuticals plc - Ordinary Share,AVDL
"AvidXchange Holdings,","AvidXchange Holdings, Inc. - Common Stock",AVDX
Avantis Credit,Avantis Credit ETF,AVGB
Leverage Shares,Leverage Shares 2X Long AVGO Daily ETF,AVGG
Broadcom Inc.,Broadcom Inc. - Common Stock,AVGO
Defiance Daily,Defiance Daily Target 2X Long AVGO ETF,AVGX
"Atea Pharmaceuticals,","Atea Pharmaceuticals, Inc. - common stock",AVIR
Direxion Daily,Direxion Daily AVGO Bull 2X Shares,AVL
"Aviat Networks,","Aviat Networks, Inc. - Common Stock",AVNW
"Mission Produce,","Mission Produce, Inc. - Common Stock",AVO
"AvePoint, Inc.","AvePoint, Inc. - Class A Common Stock",AVPT
"AvePoint, Inc.","AvePoint, Inc. - Warrant",AVPTW
Anteris Technologies,Anteris Technologies Global Corp. - Common Stock,AVR
Direxion Daily,Direxion Daily AVGO Bear 1X Shares,AVS
"Avnet, Inc.","Avnet, Inc. - Common Stock",AVT
"Avalo Therapeutics,","Avalo Therapeutics, Inc. - Common Stock",AVTX
Avantis U.S.,Avantis U.S. Quality ETF,AVUQ
Avantis Emerging,Avantis Emerging Markets ex-China Equity ETF,AVXC
Anavex Life,Anavex Life Sciences Corp. - Common Stock,AVXL
"Aware, Inc.","Aware, Inc. - Common Stock",AWRE
"Axogen, Inc.","Axogen, Inc. - Common Stock",AXGN
"Axon Enterprise,","Axon Enterprise, Inc. - Common Stock",AXON
"Axsome Therapeutics,","Axsome Therapeutics, Inc. - Common Stock",AXSM
AXT Inc,AXT Inc - Common Stock,AXTI
"AYRO, Inc.","AYRO, Inc. - Common Stock",AYRO
"Aytu BioPharma,","Aytu BioPharma, Inc.  - Common Stock",AYTU
A2Z Cust2Mate,A2Z Cust2Mate Solutions Corp. - Common Shares,AZ
Autozi Internet,Autozi Internet Technology (Global) Ltd. - Class A Ordinary Shares,AZI
AstraZeneca PLC,AstraZeneca PLC - American Depositary Shares,AZN
"Azenta, Inc.","Azenta, Inc. - Common Stock",AZTA
GraniteShares 2x,GraniteShares 2x Long BABA Daily ETF,BABX
Bleichroeder Acquisition,Bleichroeder Acquisition Corp. I - Class A Ordinary Shares,BACQ
Bleichroeder Acquisition,Bleichroeder Acquisition Corp. I - Right,BACQR
Bleichroeder Acquisition,Bleichroeder Acquisition Corp. I - Unit,BACQU
Bridger Aerospace,"Bridger Aerospace Group Holdings, Inc. - Common Stock",BAER
Bridger Aerospace,"Bridger Aerospace Group Holdings, Inc. - Warrant",BAERW
Brown Advisory,Brown Advisory Flexible Equity ETF,BAFE
BayFirst Financial,BayFirst Financial Corp. - Common Stock,BAFN
Bandwidth Inc.,Bandwidth Inc. - Class A Common Stock,BAND
BancFirst Corporation,BancFirst Corporation - Common Stock,BANF
BancFirst Corporation,BancFirst Corporation - 7.2% Cumulative Trust Preferred Securities,BANFP
CBL International,CBL International Limited - Ordinary Shares,BANL
Banner Corporation,Banner Corporation - Common Stock,BANR
ArrowMark Financial,ArrowMark Financial Corp. - Closed End Fund,BANX
Baosheng Media,Baosheng Media Group Holdings Limited - Ordinary shares,BAOS
"Couchbase, Inc.","Couchbase, Inc. - Common Stock",BASE
Atlanta Braves,"Atlanta Braves Holdings, Inc. - Series A Common Stock",BATRA
Atlanta Braves,"Atlanta Braves Holdings, Inc. - Series C Common Stock",BATRK
Bayview Acquisition,Bayview Acquisition Corp - Ordinary Share,BAYA
Bayview Acquisition,Bayview Acquisition Corp - Right,BAYAR
Bayview Acquisition,Bayview Acquisition Corp - Unit,BAYAU
Concrete Pumping,"Concrete Pumping Holdings, Inc.  - Common Stock",BBCP
Beasley Broadcast,"Beasley Broadcast Group, Inc. - Class A Common Stock",BBGI
VanEck Biotech,VanEck Biotech ETF,BBH
"BridgeBio Pharma,","BridgeBio Pharma, Inc. - Common Stock",BBIO
Bone Biologics,Bone Biologics Corp - Common Stock,BBLG
Bone Biologics,Bone Biologics Corp - warrants,BBLGW
"Beta Bionics,","Beta Bionics, Inc. - Common Stock",BBNX
Barrett Business,"Barrett Business Services, Inc. - Common Stock",BBSI
"BioAtla, Inc.","BioAtla, Inc. - Common Stock",BCAB
California BanCorp,California BanCorp - Common Stock,BCAL
Bicara Therapeutics,Bicara Therapeutics Inc. - Common Stock,BCAX
"BCB Bancorp,","BCB Bancorp, Inc. (NJ) - Common Stock",BCBP
"BioCardia, Inc.","BioCardia, Inc. - Common Stock",BCDA
Binah Capital,"Binah Capital Group, Inc. - Common Stock",BCG
Binah Capital,"Binah Capital Group, Inc. - Warrants",BCGWW
Brainstorm Cell,Brainstorm Cell Therapeutics Inc. - Common Stock,BCLI
iShares BBB-B,iShares BBB-B CLO Active ETF,BCLO
BayCom Corp,BayCom Corp - Common Stock,BCML
Balchem Corporation,Balchem Corporation - Common Stock,BCPC
"BioCryst Pharmaceuticals,","BioCryst Pharmaceuticals, Inc. - Common Stock",BCRX
BriaCell Therapeutics,BriaCell Therapeutics Corp. - Common Shares,BCTX
BriaCell Therapeutics,BriaCell Therapeutics Corp. - Warrant,BCTXW
BriaCell Therapeutics,BriaCell Therapeutics Corp. - Warrant,BCTXZ
Bicycle Therapeutics,Bicycle Therapeutics plc - American Depositary Shares,BCYC
Bridges Capital,Bridges Capital Tactical ETF,BDGS
Baird Medical,Baird Medical Investment Holdings Ltd - Ordinary Share,BDMD
Baird Medical,Baird Medical Investment Holdings Ltd - Warrant,BDMDW
Biodexa Pharmaceuticals,Biodexa Pharmaceuticals plc - American Depositary Shares,BDRX
"Biodesix, Inc.","Biodesix, Inc. - Common Stock",BDSX
Black Diamond,"Black Diamond Therapeutics, Inc. - Common Stock",BDTX
Bold Eagle,Bold Eagle Acquisition Corp. - Class A Ordinary Shares,BEAG
Bold Eagle,Bold Eagle Acquisition Corp. - Right,BEAGR
Bold Eagle,Bold Eagle Acquisition Corp. - Units,BEAGU
Beam Therapeutics,Beam Therapeutics Inc. - Common Stock,BEAM
"Heartbeam, Inc.","Heartbeam, Inc. - Common Stock",BEAT
"Heartbeam, Inc.","Heartbeam, Inc. - Warrant",BEATW
Beam Global,Beam Global - Common Stock,BEEM
The Beehive,The Beehive ETF,BEEX
Honeytree U.S.,Honeytree U.S. Equity ETF,BEEZ
Bel Fuse,Bel Fuse Inc. - Class A Common Stock,BELFA
Bel Fuse,Bel Fuse Inc. - Class B Common Stock,BELFB
iShares Long-Term,iShares Long-Term U.S. Equity Active ETF,BELT
Beneficient -,Beneficient - Class A Common Stock,BENF
Beneficient -,Beneficient - Warrant,BENFW
Better Home,Better Home & Finance Holding Company - Class A Common Stock,BETR
Better Home,Better Home & Finance Holding Company - Warrant,BETRW
Bank First,Bank First Corporation - Common Stock,BFC
BankFinancial Corporation,BankFinancial Corporation - Common Stock,BFIN
Bullfrog AI,"Bullfrog AI Holdings, Inc. - Common Stock",BFRG
Bullfrog AI,"Bullfrog AI Holdings, Inc. - Warrants",BFRGW
Biofrontera Inc.,Biofrontera Inc. - Common Stock,BFRI
Biofrontera Inc.,Biofrontera Inc. - Warrants,BFRIW
Business First,"Business First Bancshares, Inc. - Common Stock",BFST
"BGC Group,","BGC Group, Inc. - Class A Common Stock",BGC
Big 5,Big 5 Sporting Goods Corporation - Common Stock,BGFV
BioNexus Gene,BioNexus Gene Lab Corp - Common stock,BGLC
BGM Group,BGM Group Ltd. - Class A Ordinary Shares,BGM
iShares USD,iShares USD Green Bond ETF,BGRN
iShares Large,iShares Large Cap Growth Active ETF,BGRO
Blue Hat,Blue Hat Interactive Entertainment Technology - Ordinary Shares,BHAT
"Brighthouse Financial,","Brighthouse Financial, Inc. - Common Stock",BHF
"Brighthouse Financial,","Brighthouse Financial, Inc. - Junior Subordinated Debentures due 2058",BHFAL
"Brighthouse Financial,","Brighthouse Financial, Inc. - Depositary shares each representing a 1/1,000th Interest in a Share of 4.625% Non-Cumulative Preferred Stock, Series D",BHFAM
"Brighthouse Financial,","Brighthouse Financial, Inc. - depositary shares, each representing a 1/1,000th interest in a share of 5.375% Non-Cumulative Preferred Stock, Series C",BHFAN
"Brighthouse Financial,","Brighthouse Financial, Inc. - Depositary Shares, each representing a 1/1,000th interest in a share of 6.750% Non-Cumulative Preferred Stock, Series B",BHFAO
"Brighthouse Financial,","Brighthouse Financial, Inc. - Depositary Shares 6.6% Non-Cumulative Preferred Stock, Series A",BHFAP
Burke &,Burke & Herbert Financial Services Corp. - Common Stock,BHRB
BioHarvest Sciences,BioHarvest Sciences Inc. - Common Stock,BHST
"bioAffinity Technologies,","bioAffinity Technologies, Inc. - Common Stock",BIAF
"bioAffinity Technologies,","bioAffinity Technologies, Inc. - Warrant",BIAFW
ProShares Ultra,ProShares Ultra Nasdaq Biotechnology,BIB
"Baidu, Inc.","Baidu, Inc. - American Depositary Shares, each representing 8 ordinary share",BIDU
"BigCommerce Holdings,","BigCommerce Holdings, Inc. - Series 1 Common Stock",BIGC
Biogen Inc.,Biogen Inc. - Common Stock,BIIB
Bilibili Inc.,Bilibili Inc. - American Depositary Shares,BILI
"BioAge Labs,","BioAge Labs, Inc. - Common Stock",BIOA
Bioceres Crop,Bioceres Crop Solutions Corp. - Ordinary Shares,BIOX
"Allbirds, Inc.","Allbirds, Inc. - Class A Common Stock",BIRD
ProShares UltraShort,ProShares UltraShort Nasdaq Biotechnology,BIS
Bitfarms Ltd.,Bitfarms Ltd. - Common Stock,BITF
Global X,Global X Blockchain & Bitcoin Strategy ETF,BITS
BioVie Inc.,BioVie Inc. - Common stock,BIVI
Baiya International,Baiya International Group Inc.  - Ordinary Shares,BIYA
"Bluejay Diagnostics,","Bluejay Diagnostics, Inc. - Common Stock",BJDX
VanEck Gaming,VanEck Gaming ETF,BJK
"BJ's Restaurants,","BJ's Restaurants, Inc. - Common Stock",BJRI
Global X,Global X Blockchain ETF,BKCH
Black Hawk,Black Hawk Acquisition Corporation - Class A Ordinary Shares,BKHA
Black Hawk,Black Hawk Acquisition Corporation - Rights,BKHAR
Black Hawk,Black Hawk Acquisition Corporation - Units,BKHAU
BNY Mellon,BNY Mellon Innovators ETF,BKIV
Booking Holdings,Booking Holdings Inc. - Common Stock,BKNG
Baker Hughes,Baker Hughes Company - Common Stock,BKR
BNY Mellon,BNY Mellon Women's Opportunities ETF,BKWO
"BIO-key International,","BIO-key International, Inc. - Common Stock",BKYI
"BlackLine, Inc.","BlackLine, Inc. - Common Stock",BL
Blue Bird,Blue Bird Corporation - Common Stock,BLBD
Blackboxstocks Inc.,Blackboxstocks Inc. - Common Stock,BLBX
Siren Nasdaq,Siren Nasdaq NexGen Economy ETF,BLCN
iShares Large,iShares Large Cap Core Active ETF,BLCR
Blade Air,"Blade Air Mobility, Inc. - Class A Common Stock",BLDE
Blade Air,"Blade Air Mobility, Inc. - Warrants",BLDEW
Ballard Power,"Ballard Power Systems, Inc. - Common Shares",BLDP
"BioLife Solutions,","BioLife Solutions, Inc. - Common Stock",BLFS
Blue Foundry,Blue Foundry Bancorp - Common Stock,BLFY
"Bridgeline Digital,","Bridgeline Digital, Inc. - Common Stock",BLIN
BeLive Holdings,BeLive Holdings - ordinary shares,BLIV
"Blackbaud, Inc.","Blackbaud, Inc. - Common Stock",BLKB
"Bloomin' Brands,","Bloomin' Brands, Inc. - Common Stock",BLMN
BloomZ Inc.,BloomZ Inc. - Ordinary Shares,BLMZ
"Beeline Holdings,","Beeline Holdings, Inc. - Common Stock",BLNE
Blink Charging,Blink Charging Co. - Common Stock,BLNK
BioLineRx Ltd.,BioLineRx Ltd. - American Depositary Shares,BLRX
"Belite Bio,","Belite Bio, Inc - American Depositary Shares",BLTE
"bluebird bio,","bluebird bio, Inc. - Common Stock",BLUE
"Backblaze, Inc.","Backblaze, Inc. - Class A Common Stock",BLZE
REX Bitcoin,REX Bitcoin Corporate Treasury Convertible Bond ETF,BMAX
Bumble Inc.,Bumble Inc. - common stock,BMBL
VictoryShares WestEnd,VictoryShares WestEnd Economic Cycle Bond ETF,BMDL
"Biomea Fusion,","Biomea Fusion, Inc. - Common Stock",BMEA
Basel Medical,Basel Medical Group Ltd - ordinary shares,BMGL
Beamr Imaging,Beamr Imaging Ltd. - Ordinary Share,BMR
"Biomerica, Inc.","Biomerica, Inc. - Common Stock",BMRA
Bank of,Bank of Marin Bancorp - Common Stock,BMRC
BioMarin Pharmaceutical,BioMarin Pharmaceutical Inc. - Common Stock,BMRN
Brand Engagement,Brand Engagement Network Inc. - Common Stock,BNAI
Brand Engagement,Brand Engagement Network Inc. - Warrant,BNAIW
Vanguard Total,Vanguard Total Bond Market ETF,BND
Vanguard Total,Vanguard Total World Bond ETF,BNDW
Vanguard Total,Vanguard Total International Bond ETF,BNDX
"Bionano Genomics,","Bionano Genomics, Inc. - Common Stock",BNGO
Burning Rock,Burning Rock Biotech Limited - American Depositary Shares,BNR
Brenmiller Energy,Brenmiller Energy Ltd - Ordinary Shares,BNRG
Benitec Biopharma,Benitec Biopharma Inc. - Common Stock,BNTC
BioNTech SE,BioNTech SE - American Depositary Shares,BNTX
"Banzai International,","Banzai International, Inc. - Class A Common Stock",BNZI
"Banzai International,","Banzai International, Inc. - Warrant",BNZIW
Direxion Daily,Direxion Daily BA Bear 1X Shares,BOED
Direxion Daily,Direxion Daily BA Bull 2X Shares,BOEU
BranchOut Food,BranchOut Food Inc. - Common Stock,BOF
BOK Financial,BOK Financial Corporation - Common Stock,BOKF
"Boundless Bio,","Boundless Bio, Inc. - Common Stock",BOLD
"Bolt Biotherapeutics,","Bolt Biotherapeutics, Inc. - Common Stock",BOLT
Bon Natural,Bon Natural Life Limited - Class A Ordinary Shares,BON
DMC Global,DMC Global Inc. - Common Stock,BOOM
B.O.S. Better,B.O.S. Better Online Solutions - Ordinary Shares,BOSC
Bank of,"Bank of the James Financial Group, Inc. - Common Stock",BOTJ
Themes Robotics,Themes Robotics & Automation ETF,BOTT
Global X,Global X Robotics & Artificial Intelligence ETF,BOTZ
Bowen Acquisition,Bowen Acquisition Corp - Ordinary Shares,BOWN
Bowen Acquisition,Bowen Acquisition Corp - Rights,BOWNR
Bowen Acquisition,Bowen Acquisition Corp - Unit,BOWNU
Boxlight Corporation,Boxlight Corporation - Class A Common Stock,BOXL
Blueprint Medicines,Blueprint Medicines Corporation - Common Stock,BPMC
"Popular, Inc.","Popular, Inc. - Common Stock",BPOP
"Popular, Inc.","Popular, Inc. - Popular Capital Trust II - 6.125% Cumulative Monthly Income Trust Preferred Securities",BPOPM
"Princeton Bancorp,","Princeton Bancorp, Inc. - Common Stock",BPRN
Brookfield Property,"Brookfield Property Partners L.P. - 6.25% Class A Cumulative Redeemable Preferred Units, Series 1",BPYPM
Brookfield Property,"Brookfield Property Partners L.P. - 5.750% Class A Cumulative Redeemable Perpetual Preferred Units, Series 3",BPYPN
Brookfield Property,"Brookfield Property Partners L.P. - 6.375% Class A Cumulative Redeemable Perpetual Preferred Units, Series 2",BPYPO
Brookfield Property,Brookfield Property Partners L.P. - 6.50% Class A Cumulative Redeemable Perpetual Preferred Units,BPYPP
Bragg Gaming,Bragg Gaming Group Inc. - Common Shares,BRAG
Brera Holdings,Brera Holdings PLC - Class B Ordinary Shares,BREA
Barfresh Food,Barfresh Food Group Inc. - Common Stock,BRFH
iShares High,iShares High Yield Active ETF,BRHY
Bridgford Foods,Bridgford Foods Corporation - Common Stock,BRID
Direxion Daily,Direxion Daily BRKB Bear 1X Shares,BRKD
"Brookline Bancorp,","Brookline Bancorp, Inc. - Common Stock",BRKL
Bruker Corporation,Bruker Corporation - Common Stock,BRKR
Direxion Daily,Direxion Daily BRKB Bull 2X Shares,BRKU
Borealis Foods,Borealis Foods Inc. - Class A Common Shares,BRLS
Borealis Foods,Borealis Foods Inc. - Warrant,BRLSW
Brilliant Earth,"Brilliant Earth Group, Inc. - Class A Common Stock",BRLT
Barinthus Biotherapeutics,Barinthus Biotherapeutics plc - American Depositary Shares,BRNS
Burney U.S.,Burney U.S. Factor Rotation ETF,BRNY
Brooge Energy,Brooge Energy Limited  - Ordinary Shares,BROG
Coinshares Valkyrie,Coinshares Valkyrie Bitcoin Fund,BRRR
iShares Total,iShares Total Return Active ETF,BRTR
"BioRestorative Therapies,","BioRestorative Therapies, Inc. - Common Stock",BRTX
Berry Corporation,Berry Corporation (bry) - Common Stock,BRY
"Braze, Inc.","Braze, Inc. - Class A Common Stock",BRZE
Bogota Financial,Bogota Financial Corp. - Common Stock,BSBK
Invesco BulletShares,Invesco BulletShares 2025 Corporate Bond ETF,BSCP
Invesco BulletShares,Invesco BulletShares 2026 Corporate Bond ETF,BSCQ
Invesco BulletShares,Invesco BulletShares 2027 Corporate Bond ETF,BSCR
Invesco BulletShares,Invesco BulletShares 2028 Corporate Bond ETF,BSCS
Invesco BulletShares,Invesco BulletShares 2029 Corporate Bond ETF,BSCT
Invesco BulletShares,Invesco BulletShares 2030 Corporate Bond ETF,BSCU
Invesco BulletShares,Invesco BulletShares 2031 Corporate Bond ETF,BSCV
Invesco BulletShares,Invesco BulletShares 2032 Corporate Bond ETF,BSCW
Invesco BulletShares,Invesco BulletShares 2033 Corporate Bond ETF,BSCX
Invesco BulletShares,Invesco BulletShares 2034 Corporate Bond ETF,BSCY
Bassett Furniture,"Bassett Furniture Industries, Incorporated - Common Stock",BSET
"BioSig Technologies,","BioSig Technologies, Inc. - Common Stock",BSGM
Black Spade,Black Spade Acquisition II Co - Class A Ordinary Share,BSII
Black Spade,Black Spade Acquisition II Co - unit,BSIIU
Black Spade,Black Spade Acquisition II Co - Warrant,BSIIW
Invesco BulletShares,Invesco BulletShares 2025 High Yield Corporate Bond ETF,BSJP
Invesco BulletShares,Invesco BulletShares 2026 High Yield Corporate Bond ETF,BSJQ
Invesco BulletShares,Invesco BulletShares 2027 High Yield Corporate Bond ETF,BSJR
Invesco BulletShares,Invesco BulletShares 2028 High Yield Corporate Bond ETF,BSJS
Invesco BulletShares,Invesco BulletShares 2029 High Yield Corporate Bond ETF,BSJT
Invesco BulletShares,Invesco BulletShares 2030 High Yield Corporate Bond ETF,BSJU
Invesco BulletShares,Invesco BulletShares 2031 High Yield Corporate Bond ETF,BSJV
Invesco BulletShares,Invesco BulletShares 2032 High Yield Corporate Bond ETF,BSJW
Bolt Projects,"Bolt Projects Holdings, Inc. - Common Stock",BSLK
Bolt Projects,"Bolt Projects Holdings, Inc. - Warrant",BSLKW
Invesco BulletShares,Invesco BulletShares 2025 Municipal Bond ETF,BSMP
Invesco BulletShares,Invesco BulletShares 2026 Municipal Bond ETF,BSMQ
Invesco BulletShares,Invesco BulletShares 2027 Municipal Bond ETF,BSMR
Invesco BulletShares,Invesco BulletShares 2028 Municipal Bond ETF,BSMS
Invesco BulletShares,Invesco BulletShares 2029 Municipal Bond ETF,BSMT
Invesco BulletShares,Invesco BulletShares 2030 Municipal Bond ETF,BSMU
Invesco BulletShares,Invesco BulletShares 2031 Municipal Bond ETF,BSMV
Invesco BulletShares,Invesco BulletShares 2032 Municipal Bond ETF,BSMW
Invesco BulletShares,Invesco BulletShares 2034 Municipal Bond ETF,BSMY
Sierra Bancorp,Sierra Bancorp - Common Stock,BSRR
Invesco BulletShares,Invesco BulletShares 2033 Municipal Bond ETF,BSSX
Bank7 Corp.,Bank7 Corp. - Common stock,BSVN
EA Bridgeway,EA Bridgeway Omni Small-Cap Value ETF,BSVO
"Bentley Systems,","Bentley Systems, Incorporated - Class B Common Stock",BSY
"BioXcel Therapeutics,","BioXcel Therapeutics, Inc. - Common Stock",BTAI
"BT Brands,","BT Brands, Inc. - Common Stock",BTBD
"BT Brands,","BT Brands, Inc. - Warrant",BTBDW
"Bit Digital,","Bit Digital, Inc. - Ordinary Share",BTBT
BTCS Inc.,BTCS Inc. - Common Stock,BTCS
BTC Digital,BTC Digital Ltd. - Ordinary Shares,BTCT
Bitdeer Technologies,Bitdeer Technologies Group - Ordinary Shares,BTDR
CoinShares Valkyrie,CoinShares Valkyrie Bitcoin and Ether Strategy ETF,BTF
CoinShares Valkyrie,CoinShares Valkyrie Bitcoin Futures Leveraged Strategy ETF,BTFX
STKd 100%,STKd 100% Bitcoin & 100% Gold ETF,BTGD
Bitcoin Depot,Bitcoin Depot Inc. - Class A Common Stock,BTM
Biote Corp.,Biote Corp. - Class A common stock,BTMD
Bitcoin Depot,Bitcoin Depot Inc. - Warrant,BTMWW
Armlogi Holding,Armlogi Holding Corp. - common stock,BTOC
Bit Origin,Bit Origin Limited - Class A Ordinary Shares,BTOG
BrightSpring Health,"BrightSpring Health Services, Inc. - Common Stock",BTSG
BrightSpring Health,"BrightSpring Health Services, Inc. - Tangible Equity Unit",BTSGU
AB Conservative,AB Conservative Buffer ETF,BUFC
AB International,AB International Buffer ETF,BUFI
AB Moderate,AB Moderate Buffer ETF,BUFM
Global X,Global X Cybersecurity ETF,BUG
Pacer BlueStar,Pacer BlueStar Engineering the Future ETF,BULD
Webull Corporation,Webull Corporation - Class A Ordinary Shares,BULL
Webull Corporation,Webull Corporation - Warrants,BULLW
Webull Corporation,Webull Corporation - Incentive Warrant,BULLZ
First Busey,First Busey Corporation - Common Stock,BUSE
"BV Financial,","BV Financial, Inc. - Common Stock",BVFL
Bioventus Inc.,Bioventus Inc. - Class A Common Stock,BVS
BrainsWay Ltd.,BrainsWay Ltd. - American Depositary Shares,BWAY
"Bridgewater Bancshares,","Bridgewater Bancshares, Inc. - Common Stock",BWB
"Bridgewater Bancshares,","Bridgewater Bancshares, Inc. - Depositary Shares, Each Representing a 1/100th Interest in a Share of 5.875% Non-Cumulative Perpetual Preferred Stock, Series A",BWBBP
"Broadwind, Inc.","Broadwind, Inc. - Common Stock",BWEN
Bankwell Financial,"Bankwell Financial Group, Inc. - Common Stock",BWFG
The Baldwin,"The Baldwin Insurance Group, Inc. - Class A Common Stock",BWIN
Bowman Consulting,Bowman Consulting Group Ltd. - Common Stock,BWMN
Broadway Financial,Broadway Financial Corporation - Class A Common Stock,BYFC
"Beyond Meat,","Beyond Meat, Inc. - Common stock",BYND
"Byrna Technologies,","Byrna Technologies, Inc. - Common Stock",BYRN
"BeyondSpring, Inc.","BeyondSpring, Inc. - Ordinary Shares",BYSI
KANZHUN LIMITED,KANZHUN LIMITED - American Depository Shares,BZ
"Blaize Holdings,","Blaize Holdings, Inc. - Common Stock",BZAI
"Blaize Holdings,","Blaize Holdings, Inc. - Warrant",BZAIW
"BuzzFeed, Inc.","BuzzFeed, Inc. - Class A Common Stock",BZFD
"BuzzFeed, Inc.","BuzzFeed, Inc. - Warrant",BZFDW
Baozun Inc.,Baozun Inc. - American Depositary Shares,BZUN
Xtrackers California,Xtrackers California Municipal Bonds ETF,CA
China Automotive,"China Automotive Systems, Inc. - Common Stock",CAAS
"Cabaletta Bio,","Cabaletta Bio, Inc. - Common Stock",CABA
Camden National,Camden National Corporation - Common Stock,CAC
Credit Acceptance,Credit Acceptance Corporation - Common Stock,CACC
"Candel Therapeutics,","Candel Therapeutics, Inc. - Common Stock",CADL
Pacer US,Pacer US Small Cap Cash Cows Growth Leaders ETF,CAFG
The Cheesecake,The Cheesecake Factory Incorporated - Common Stock,CAKE
"CalciMedica, Inc.","CalciMedica, Inc. - Common Stock",CALC
iShares Short-Term,iShares Short-Term California Muni Active ETF,CALI
"Cal-Maine Foods,","Cal-Maine Foods, Inc. - Common Stock",CALM
CAMP4 Therapeutics,CAMP4 Therapeutics Corporation - Common Stock,CAMP
Camtek Ltd.,Camtek Ltd. - Ordinary Shares,CAMT
Canaan Inc.,Canaan Inc. - American Depositary Shares,CAN
Tema Oncology,Tema Oncology ETF,CANC
Calamos Nasdaq,Calamos Nasdaq Equity & Income ETF,CANQ
Cayson Acquisition,Cayson Acquisition Corp - Ordinary Shares,CAPN
Cayson Acquisition,Cayson Acquisition Corp - Right,CAPNR
Cayson Acquisition,Cayson Acquisition Corp - Units,CAPNU
"Capricor Therapeutics,","Capricor Therapeutics, Inc. - Common Stock",CAPR
Capstone Holding,Capstone Holding Corp. - Common Stock,CAPS
Captivision Inc.,Captivision Inc. - Ordinary Shares,CAPT
Captivision Inc.,Captivision Inc. - Warrant,CAPTW
Avis Budget,"Avis Budget Group, Inc. - Common Stock",CAR
"Carter Bankshares,","Carter Bankshares, Inc. - Common Stock",CARE
"CarGurus, Inc.","CarGurus, Inc. - Class A Common Stock",CARG
"Carisma Therapeutics,","Carisma Therapeutics, Inc. - Common Stock",CARM
Maplebear Inc.,Maplebear Inc. - Common Stock,CART
"Carver Bancorp,","Carver Bancorp, Inc. - Common Stock",CARV
Angel Oak,Angel Oak Income ETF,CARY
First Trust,First Trust S-Network Electric & Future Vehicle Ecosystem ETF,CARZ
"Pathward Financial,","Pathward Financial, Inc. - Common Stock",CASH
"CASI Pharmaceuticals,","CASI Pharmaceuticals, Inc. - Ordinary Shares",CASI
Heritage Distilling,"Heritage Distilling Holding Company, Inc. - Common Stock",CASK
Cass Information,"Cass Information Systems, Inc - Common Stock",CASS
Caseys General,"Caseys General Stores, Inc. - Common Stock",CASY
Global X,Global X S&P 500 Catholic Values ETF,CATH
Cathay General,Cathay General Bancorp - Common Stock,CATY
CBAK Energy,"CBAK Energy Technology, Inc. - Common Stock",CBAT
CB Financial,"CB Financial Services, Inc. - Common Stock",CBFV
"CeriBell, Inc.","CeriBell, Inc. - Common Stock",CBLL
"Capital Bancorp,","Capital Bancorp, Inc. - Common Stock",CBNK
Cracker Barrel,"Cracker Barrel Old Country Store, Inc. - Common Stock",CBRL
"Commerce Bancshares,","Commerce Bancshares, Inc. - Common Stock",CBSH
"Cibus, Inc.","Cibus, Inc. - Class A Common Stock",CBUS
Crescent Capital,"Crescent Capital BDC, Inc. - Common Stock",CCAP
Coastal Financial,Coastal Financial Corporation - Common Stock,CCB
